drug_name,mapping
"CLEXANE*6SIR 4000UI 0,4ML","CLEXANE 2.000 UI (20 mg)/0,2 ml soluzione iniettabile in siringhe preriempite"
"DECAPEPTYL*IM FL3,75MG+2ML+SIR","DECAPEPTYL 0,1 mg/ml polvere e solvente per soluzione iniettabile"
"DECAPEPTYL*IM 11,25MG+2ML+1SIR","DECAPEPTYL 0,1 mg/ml polvere e solvente per soluzione iniettabile"
"ENANTONE*IM SC SIR3,75MG/ML RP","ENANTONE 3,75 mg/ml polvere e solvente per sospensione iniettabile a rilascio prolungato per"
"ENANTONE*IM SC SIR11,25MG/MLRP","ENANTONE 3,75 mg/ml polvere e solvente per sospensione iniettabile a rilascio prolungato per"
LEVOBREN*IM EV 6F 25MG 2ML,Levobren 25 mg compresse
BREVIBLOC*INF 5FL 100MG 10ML,BREVIBLOC 10 mg/ml Soluzione per infusione
TORADOL*IM IV 3F 30MG 1ML,Tora-Dol 10 mg/ml soluzione iniettabile
DIFLUCAN*7CPS 200MG,Diflucan 200 mg capsule rigide
LEVOFOLENE*INIET 1FL 25MG,Levofolene 4 mg compresse
ZAVEDOS*EV 1FL 10MG 10ML,ZAVEDOS 10 mg capsule rigide
CACIT 1000*30CPR EFF 1000MG,1000 mg compresse effervescenti
GLUCAGEN*FL 1MG+FL 1ML SOLV,GlucaGen 1 mg
MACLADIN*14CPR RIV 500MG,MACLADIN 500 mg Compresse rivestite
"DILATREND*28CPR DIV 6,25MG","Dilatrend 6,25 mg compresse"
OPTIRAY*EV 500ML 350MG/ML,Optiray 300 mg/ml
OPTIRAY*EV 10SIR 125ML350MG/ML,Optiray 350 mg/ml
SPORANOX*OS FL 150ML 10MG/ML,SPORANOX 100 mg capsule rigide
ZITROMAX*EV 1FL 500MG POLV,Zitromax 500 mg compresse rivestite con film
NAVELBINE*EV 50MG 5ML 10MG/ML,NAVELBINE 20 mg capsule molli
ACICLIN*35CPR 800MG,Aciclin 800 mg compresse
NIPENT*IV FL 10MG,Nipent** **10 mg
FLIXOTIDE*DISKUS 250MCG 60DOSI,FLIXOTIDE 50 mcg Sospensione pressurizzata per inalazione
CONTRAMAL*OS GTT 10ML,CONTRAMAL 50 mg capsule rigide
CONTRAMAL*20CPR 100MG RP,CONTRAMAL 50 mg capsule rigide
CONTRAMAL*INIET 5F 100MG 2ML,CONTRAMAL 50 mg capsule rigide
CEPIM*IM IV FL 1G+F 3ML,"Cepim 500 mg/1,5 ml polvere e solvente per soluzione iniettabile"
PLASBUMIN*EV 1FL 50ML 200G/L,Plasbumin 200 g/l soluzione per infusione
"CLEXANE T*10SIR 6000UI 0,6ML","CLEXANE T 12.000 UI (120 mg)/0,8 ml soluzione iniettabile in sirina preriempita"
"CLEXANE T*10SIR 8000UI 0,8ML","CLEXANE T 12.000 UI (120 mg)/0,8 ml soluzione iniettabile in sirina preriempita"
SELG ESSE*OS POLV 4BUST 70G 1L,SELG ESSE polvere per soluzione orale
GLICEROLO ALFA*AD 18SUPP2250MG,GLICEROLO ALFASIGMA bambini 1375 mg supposte
ACQUA PI*SACCA 5000ML IRRIG,ACQUA PER PREPARAZIONI INIETTABILI GALENICA SENESE solvente per uso parenterale
CALCIO CLORURO GS*10F 1G 10ML,Calcio cloruro Galenica Senese 1g/10 ml
SODIO BICARB*10F 10ML 1MEQ/ML,Sodio bicarbonato Galenica Senese 10 mEq/10 ml concentrato per soluzione per infusione
ADRENALINA SALF*5F 1MG 1ML,"ADRENALINA S.A.L.F. 0,5 mg/ml soluzione iniettabile"
FENOBARBITALE SODICO*5F 100MG,Fenobarbitale sodico S.A.L.F. 100 mg/2 ml soluzione iniettabile
SODIO BICARB SALF*5F 10MEQ10ML,"SODIO BICARBONATO S.A.L.F. 1,4%soluzione per infusione"
ACQUA PI B.BRAUN*100F 10ML,ACQUA PER PREPARAZIONI INIETTABILI B. BRAUN solvente per uso parenterale
GLUCOSIO*10% 20FL 250ML,GLUCOSIO B. BRAUN 20% soluzione per infusione
GLUCOSIO*20% 10FL 500ML,GLUCOSIO B. BRAUN 10% soluzione per infusione
"SODIO CLORURO*0,9% 10FL 1000ML","SODIO CLORURO B. BRAUN 0,9% soluzione iniettabile"
SODIO CLORURO*20F 10ML 2MEQ/ML,"SODIO CLORURO B. BRAUN 0,9% soluzione iniettabile"
"SODIO CLORURO*0,9% 100F 10ML","SODIO CLORURO B. BRAUN 0,9% soluzione iniettabile"
EOSINA NOVA AR*SOL CUT 2% 100G,EOSINA NA 2% soluzione cutanea
METILTIONINIO CL*10F100MG/10ML,METILTIONINIO CLORURO Bioindustria L.I.M.50 mg/5 ml soluzione iniettabile per uso
GENTAMICINA SOLFATO*10F 80MG/2,GENTAMICINA SOLFATO FISIOPHARMA 80 mg/2 ml soluzione iniettabile
ORAMORPH*OS 20FL 1D 5ML 10MG,ORAMORPH 2 mg/ml sciroppo
ORAMORPH*OS 20FL 1D 5ML 30MG,ORAMORPH 2 mg/ml sciroppo
BRAUNOL*10% UNG 10TUBI 100G,Braunol 10 % Unguento
"BRAUNOL*7,5% 20FL 250ML",Braunol 10 % Unguento
